path,ticker,analysis_type,date,provider,issues,line_count,content_lines,note
/home/runner/work/finance_data/finance_data/ai_gen_report/stock/avgo/fundamental_analysis_2026-06-24_gemini-3.md,avgo,unknown,,unknown,TOO_SHORT,16,7,content_lines=7
/home/runner/work/finance_data/finance_data/ai_gen_report/stock/avgo/technical_analysis_2026-06-26_gemini.md,avgo,technical_analysis,2026-06-26,gemini,"TOO_SHORT,CUTOFF",61,52,"content_lines=52; last_line='    subgraph NEUTRAL [""🟡 中性訊號 (4)""]'"
/home/runner/work/finance_data/finance_data/ai_gen_report/stock/goog/fundamental_analysis_2026-06-24_gemini-2.md,goog,unknown,,unknown,TOO_SHORT,82,73,content_lines=73
/home/runner/work/finance_data/finance_data/ai_gen_report/stock/goog/fundamental_analysis_2026-06-24_gemini-3.md,goog,unknown,,unknown,TOO_SHORT,22,13,content_lines=13
/home/runner/work/finance_data/finance_data/ai_gen_report/stock/ktos/fundamental_analysis_2026-06-26_gemini.md,ktos,fundamental_analysis,2026-06-26,gemini,CUTOFF,411,402,last_line='總體而言，KTOS的債務狀況非常健康，'
/home/runner/work/finance_data/finance_data/ai_gen_report/stock/meta/fundamental_analysis_2026-06-24_gemini-2.md,meta,unknown,,unknown,"TOO_SHORT,CUTOFF",44,35,"content_lines=35; last_line='    P[""💰 獲利能力<br/>9/10<br/>毛利率'"
/home/runner/work/finance_data/finance_data/ai_gen_report/stock/onds/fundamental_analysis_2026-06-24_gemini-2.md,onds,unknown,,unknown,TOO_SHORT,18,9,content_lines=9
/home/runner/work/finance_data/finance_data/ai_gen_report/stock/orcl/fundamental_analysis_2026-06-24_gemini-3.md,orcl,unknown,,unknown,TOO_SHORT,69,60,content_lines=60
/home/runner/work/finance_data/finance_data/ai_gen_report/stock/orcl/fundamental_analysis_2026-06-26_gemini.md,orcl,fundamental_analysis,2026-06-26,gemini,TOO_SHORT,26,17,content_lines=17
/home/runner/work/finance_data/finance_data/ai_gen_report/stock/pltr/fundamental_analysis_2026-06-22_gemini.md,pltr,fundamental_analysis,2026-06-22,gemini,CUTOFF,339,330,last_line='║  Debt / Equity Ratio:  2.48% (極低，'
/home/runner/work/finance_data/finance_data/ai_gen_report/stock/sofi/fundamental_analysis_2026-06-24_gemini-3.md,sofi,unknown,,unknown,TOO_SHORT,84,75,content_lines=75
