path,ticker,analysis_type,date,report_provider,reviewer_provider,reviewer_model,verdict,score,data_integrity,completeness,depth,consistency,language,grounded,issues,rationale
/home/runner/work/finance_data/finance_data/ai_gen_report/fundamental/0050/fundamental_analysis_2026-09-24_gemini.md,0050,fundamental_analysis,2026-09-24,gemini,openai,gpt-4o-mini,fail,2,2,3,2,2,4,yes,報告中提到的穿透 ROIC 達 21.8% 與 WACC 7.6% 的數據未能在其他章節中得到一致的支持。 | 報告中提到的每股內在價值 NT$ 225.50 與加權合理價值 NT$ 228.00 之間的差異未有合理解釋。 | 報告中提到的安全邊際 MOS +12.9% 與其他數據的計算邏輯不一致，未能清楚說明。 | 報告中對於風險的評估缺乏深入的分析，僅列出風險項目而無具體的因果關係。 | 報告中存在多處數據未標註來源，影響數據的誠信性。,報告在數據誠信和分析深度上存在明顯缺陷，數據之間的矛盾和缺乏支持使得整體可信度降低。雖然語言品質尚可，但整體分數未達發佈標準。
/home/runner/work/finance_data/finance_data/ai_gen_report/fundamental/amd/fundamental_analysis_2026-09-24_gemini.md,amd,fundamental_analysis,2026-09-24,gemini,openai,gpt-4o-mini,fail,2,1,3,2,2,3,yes,報告中提到的 'TTM 營收 $41.31B（YoY +39.5%）' 與 'Q2 2026 營收爆發 +50.1%' 之間存在矛盾。 | 報告中提到的 '現價 $629.26 對應 Forward P/E 40.4x' 與 '基準每股內在價值 $482.50（現價溢價 +30.4%）' 之間存在不一致。 | 報告中多次使用 '🟡' 和 '🔴' 等符號，這不符合正式報告的語言品質要求。 | 報告中有多處未填寫的佔位符，例如 'N/A' 或 'TBD'，這影響了完整性。 | 報告的結論部分未能充分總結前文的分析，缺乏必要的推論和比較。,報告在數據誠信方面存在明顯矛盾，特別是營收數據的前後不一致，導致整體分數偏低。雖然報告結構完整，但分析深度不足，且語言品質不符合正式報告標準，因此不應發佈。
/home/runner/work/finance_data/finance_data/ai_gen_report/fundamental/amzn/fundamental_analysis_2026-09-24_gemini.md,amzn,fundamental_analysis,2026-09-24,gemini,openai,gpt-4o-mini,fail,2,1,3,2,2,3,yes,報告中提到的TTM營收達$775.68B（YoY +19.6%）與其他數據不一致，缺乏來源支持。 | 報告中提到的Forward P/E為24.0x，但在相對估值分析中卻顯示為20.0x，存在矛盾。 | 報告中多次使用的數據如現金流量、資本支出等未提供具體來源，影響數據誠信。 | 報告結論與執行摘要中的評級不一致，執行摘要給予買入評級，但後續分析未能支持此結論。 | 報告中出現了多次簡體字，如'生成式 AI'，應全程使用繁體中文。,報告在數據誠信方面存在重大問題，數據不一致且缺乏來源支持，導致整體可信度下降。此外，報告的深度和一致性也未達標，無法發佈。
/home/runner/work/finance_data/finance_data/ai_gen_report/fundamental/goog/fundamental_analysis_2026-09-24_gemini.md,goog,fundamental_analysis,2026-09-24,gemini,openai,gpt-4o-mini,fail,2,2,3,3,2,4,yes,報告中提到的 'TTM 營收達 $445.87B（YoY +24.2%）' 與後續數據不一致。 | 在 '現金流量深度分析' 中，TTM FCF 被描述為 '$22.67B'，但在其他部分卻顯示為 '$53.29B'。 | 報告中提到的 'ROIC 達 24.8%' 與 'WACC 9.9%' 的比較未能清楚說明其意義。 | 在 '風險矩陣' 中，風險項目的評分與描述不一致，未能清楚表達風險的影響程度。 | 報告中使用的專業術語有時不夠準確，例如 'EVA 擴張達 +14.9pp' 的表述不夠清晰。,報告存在數據不一致和內部矛盾，特別是在關鍵財務數據的描述上，這影響了數據的誠信性和一致性。雖然語言品質尚可，但整體品質未達可發佈標準。
/home/runner/work/finance_data/finance_data/ai_gen_report/fundamental/grab/fundamental_analysis_2026-09-24_gemini.md,grab,fundamental_analysis,2026-09-24,gemini,openai,gpt-4o-mini,fail,2,2,3,2,2,4,yes,報告中提到 FY25 GAAP 營運利潤轉正至 $222M，但在其他地方提到 FY25 營業利益率為 3.70%，這可能不一致。 | 報告中提到 TTM 營收年增 21.5%，但在其他地方提到 TTM 營收年增 21.45%，數字不一致。 | 報告中提到 SBC 佔比仍高達 6.5%，但在盈餘品質分析中提到 SBC 佔營收 6.46%，數字不一致。 | 報告中提到的安全邊際 MOS 為 +33.5%，但在其他地方提到的加權合理價值為 $4.68，這可能導致計算錯誤。 | 報告中有多處使用了簡體字，如 '目标价'，不符合繁體中文的要求。,報告在數據誠信和一致性方面存在多處矛盾，影響了整體可信度。數據的準確性和一致性是投資分析報告的基礎，這些問題使得報告不符合發佈標準。
/home/runner/work/finance_data/finance_data/ai_gen_report/fundamental/intc/fundamental_analysis_2026-09-24_gemini.md,intc,fundamental_analysis,2026-09-24,gemini,openai,gpt-4o-mini,fail,2,2,3,2,2,4,yes,報告中提到的 'Forward P/E 61.8x' 與 'EV/EBITDA 38.9x' 在不同章節中未能保持一致性。 | 報告中提到的 '淨負債 $20.81B' 與 '總負債高達 $50.54B' 的數據未能清楚解釋其來源。 | 在 '風險矩陣' 中提到的 '製程節點遞延' 風險未能提供具體的數據支持。 | 報告中對於 'ROIC 僅 2.76%' 的解釋過於簡單，缺乏深入分析。 | 報告中使用的專業術語有時不夠準確，例如 '護城河評分' 的定義不夠清晰。,報告在數據誠信和分析深度上存在明顯問題，數據不一致且缺乏深入推論，導致整體品質不達標。
/home/runner/work/finance_data/finance_data/ai_gen_report/fundamental/ktos/fundamental_analysis_2026-09-24_gemini.md,ktos,fundamental_analysis,2026-09-24,gemini,openai,gpt-4o-mini,warn,3,3,4,3,4,4,yes,報告中提到的 TTM 營收 $1.52B 與 YoY +30.5% 的數字未能提供來源，可能影響數據誠信。 | 在 8.6 節中，報告提到的每股內在價值 $49.20 與其他估值方法的結果存在差異，需進一步說明。 | 報告中提到的 ROIC 0.69% 與 WACC 9.47% 的數字未能提供足夠的背景解釋，影響分析深度。 | 在 11.2 節中，目標價與隱含報酬率的計算過程未能詳細說明，影響完整性。 | 報告中使用的專業術語雖然正確，但部分句子結構較為冗長，影響語言流暢性。,報告整體結構完整，但在數據誠信和分析深度上存在不足，特別是缺乏數據來源和詳細推導過程，影響了可信度。
/home/runner/work/finance_data/finance_data/ai_gen_report/fundamental/meta/fundamental_analysis_2026-09-24_gemini.md,meta,fundamental_analysis,2026-09-24,gemini,openai,gpt-4o-mini,fail,2,1,3,2,2,3,yes,報告中提到的TTM營收成長27.65%與TTM營業利潤率38.08%未能在其他章節中得到一致的支持。 | 報告中提到的現金流量轉換率24.7%與TTM FCF $215.5億的數據不一致，顯示數據誠信問題。 | 報告中提到的安全邊際MOS為+5.00%，但在其他部分的計算中未能清楚解釋其來源。 | 報告中對於風險矩陣的評分與具體風險項目之間的關聯性不夠明確，缺乏深入分析。 | 報告中使用的專業術語有時不夠準確，例如對於資本支出的描述不夠清晰。,報告在數據誠信方面存在明顯問題，特別是數字的準確性和一致性不足，導致整體評分偏低。雖然報告結構完整，但分析深度和內部一致性也未達標，無法發佈。
/home/runner/work/finance_data/finance_data/ai_gen_report/fundamental/mrvl/fundamental_analysis_2026-09-24_gemini.md,mrvl,fundamental_analysis,2026-09-24,gemini,openai,gpt-4o-mini,warn,3,3,4,3,3,4,yes,報告中提到的 'Forward P/E 38.61x 與 EV/Sales 24.4x 均處於歷史與同業高位區間'，但未提供具體的歷史數據支持。 | 在 '風險矩陣' 中提到的 '超大型雲端客戶自研晶片替換風險'，未具體說明可能的影響程度。 | 報告中提到的 'MOS 為 -0.7%'，但未解釋該數字的計算過程。 | 在 '現金流量深度分析' 中，TTM FCF 的數字與其他章節的數字不一致，造成混淆。 | 報告中提到的 '預期報酬（基準情境 12M）' 的數字未能與其他分析結果相符。,報告在數據誠信和分析深度上存在一定問題，特別是缺乏具體數據支持和解釋，導致整體評分偏低。雖然報告結構完整，但仍需修正以提高可信度。
/home/runner/work/finance_data/finance_data/ai_gen_report/fundamental/msft/fundamental_analysis_2026-09-24_gemini.md,msft,fundamental_analysis,2026-09-24,gemini,openai,gpt-4o-mini,fail,2,1,3,2,2,3,yes,報告中提到的 FY26 營收 $331.84B 與其他數據不一致，導致數據誠信問題。 | 報告中多次出現的數字（如 ROIC 22.8% 和 WACC 9.53%）在不同章節中未能保持一致。 | 報告中對於未來預測的深度分析不足，缺乏具體的因果推論。 | 報告中使用的專業術語不夠準確，部分表述模糊不清。 | 報告中存在未填寫的佔位符（如 'TBD'），影響完整性。,報告在數據誠信和一致性方面存在重大問題，特別是數字的矛盾和不合理的預測，導致整體品質不達標。雖然有部分內容完整，但深度和語言品質也有待加強，因此給予不通過評價。
